,results
1610,0.5370548
1611,0.029325604
1612,0.08266702
1613,0.16566783
1614,0.07927841
1615,0.04324177
1616,0.034701437
1617,0.03748086
1618,0.052862793
1619,0.5544435
1620,0.12588295
1621,0.92106235
1622,0.004364699
1623,0.046949327
1624,0.026605964
1625,0.0022217631
1626,0.6238782
1627,0.014611453
1628,0.31185532
1629,0.71619385
1630,0.63286984
1631,0.5927966
1632,0.48404264
1633,0.7222317
1634,0.7087487
1635,0.34000394
1636,0.80971384
1637,0.41979414
1638,0.17799717
1639,0.17724174
1640,0.18901896
1641,0.76992166
1642,0.25412285
1643,0.26900274
1644,0.1562145
1645,0.23703864
1646,0.21210796
1647,0.14241365
1648,0.15772188
1649,0.2040546
1650,0.14530843
1651,0.6073165
1652,0.08866984
1653,0.11501473
