,results
1471,2.8848648e-05
1472,8.136034e-06
1473,0.00044178963
1474,2.861023e-06
1475,0.08677241
1476,0.017043471
1477,0.10342997
1478,8.940697e-08
1479,2.9206276e-06
1480,0.0034569204
1481,0.002205789
1482,0.01228258
1483,0.009341955
1484,0.00013634562
1485,0.00256446
1486,0.99173486
1487,0.008337557
1488,0.068077266
1489,0.0011616051
1490,7.608533e-05
1491,0.0011282265
1492,0.0022817254
1493,0.61057276
1494,0.002648145
1495,0.94379616
1496,0.58051825
1497,0.9924887
1498,0.010048866
1499,0.024571747
1500,4.6670437e-05
1501,1.7523766e-05
1502,0.9951142
1503,0.037759602
1504,0.3386427
1505,2.0861626e-07
1506,0.94830686
1507,0.0061567724
1508,5.4836273e-06
1509,0.0031034648
1510,0.0036491156
1511,0.001124531
1512,0.24328509
1513,0.0021182
1514,0.0030506253
1515,0.0007483661
1516,0.04214585
1517,0.0
1518,0.040635318
1519,0.5661984
1520,0.86552083
1521,0.0007802844
1522,0.0027244687
1523,9.23872e-07
1524,0.9826511
1525,0.029923588
1526,0.0
1527,8.583069e-06
1528,0.0
1529,1.4126301e-05
1530,0.28381413
1531,1.3113022e-06
1532,0.90952766
1533,2.2262335e-05
1534,3.4868717e-06
1535,0.00026461482
1536,3.1590462e-06
1537,0.00062578917
1538,0.03500417
1539,0.9995566
1540,0.9866084
1541,0.00014409423
1542,2.9593706e-05
1543,7.748604e-07
1544,0.9999988
1545,0.030149996
1546,0.0
1547,1.5795231e-06
1548,0.024207711
1549,0.06594491
1550,2.7298927e-05
1551,0.0007277727
1552,2.682209e-07
1553,0.99946356
1554,0.9601574
1555,0.005190313
1556,0.000654757
1557,0.23160055
1558,0.99931717
1559,0.042327046
1560,0.0
1561,0.00013250113
1562,0.066034675
1563,5.364418e-07
1564,0.0012248456
1565,0.21022958
1566,0.0019655228
1567,0.061426252
1568,1.3709068e-06
1569,0.9995801
1570,0.0010647774
1571,0.9951687
